feature,coefficient,abs_coefficient
ca_0,-0.6954638863458311,0.6954638863458311
cp_4,0.5833992918814298,0.5833992918814298
thal_7,0.5071759532593774,0.5071759532593774
thal_3,-0.47709457288942814,0.47709457288942814
sex_0,-0.37942374863056644,0.37942374863056644
sex_1,0.3792825357005637,0.3792825357005637
thalach,-0.32956262109379864,0.32956262109379864
cp_3,-0.3246499110759972,0.3246499110759972
ca_1,0.28617078665212087,0.28617078665212087
slope_2,0.2815246531544937,0.2815246531544937
oldpeak,0.27052828267142404,0.27052828267142404
ca_2,0.2536218630829898,0.2536218630829898
exang_0,-0.24336573100744838,0.24336573100744838
exang_1,0.24322451807744577,0.24322451807744577
slope_1,-0.2167116642333616,0.2167116642333616
cp_1,-0.18538600799485386,0.18538600799485386
trestbps,0.16501645080335925,0.16501645080335925
ca_3,0.15553002368071775,0.15553002368071775
restecg_2,0.14838205305992044,0.14838205305992044
restecg_0,-0.12616116480944564,0.12616116480944564
chol,0.10757536611056032,0.10757536611056032
cp_2,-0.07350458574058139,0.07350458574058139
slope_3,-0.06495420185113489,0.06495420185113489
age,0.04561807467639576,0.04561807467639576
thal_6,-0.030222593299952253,0.030222593299952253
restecg_1,-0.022362101180477295,0.022362101180477295
fbs_1,-0.016624642656549074,0.016624642656549074
fbs_0,0.01648342972654629,0.01648342972654629
